Currency,Date,Open,High,Low,Close,Dates
adx-net,2-Feb-18,1.42,1.42,0.991169,1.31,10
adx-net,1-Feb-18,1.68,1.72,1.3,1.42,11
adx-net,31-Jan-18,1.64,1.77,1.53,1.67,12
adx-net,30-Jan-18,1.92,1.93,1.62,1.64,13
adx-net,29-Jan-18,1.98,2,1.85,1.92,14
adx-net,28-Jan-18,2.05,2.17,1.98,1.98,15
adx-net,27-Jan-18,1.97,2.07,1.93,2.04,16
adx-net,26-Jan-18,1.94,1.99,1.74,1.97,17
adx-net,25-Jan-18,1.98,2.09,1.88,1.94,18
adx-net,24-Jan-18,1.83,2.01,1.78,1.96,19
adx-net,23-Jan-18,1.82,1.95,1.69,1.85,20
adx-net,22-Jan-18,1.96,2.09,1.7,1.82,21
adx-net,21-Jan-18,2.35,2.35,1.89,1.93,22
adx-net,20-Jan-18,2.27,2.51,2.27,2.35,23
adx-net,19-Jan-18,1.94,2.3,1.88,2.25,24
adx-net,18-Jan-18,1.8,2.21,1.78,1.96,25
adx-net,17-Jan-18,1.8,1.92,1.36,1.79,26
adx-net,16-Jan-18,2.53,2.53,1.5,1.8,27
adx-net,15-Jan-18,2.69,2.83,2.53,2.53,28
aelf,11-Feb-18,1.22,1.22,1.11,1.13,1
aelf,10-Feb-18,1.35,1.4,1.18,1.22,2
aelf,9-Feb-18,1.29,1.39,1.16,1.35,3
aelf,8-Feb-18,1.18,1.34,1.18,1.28,4
aelf,7-Feb-18,1.29,1.39,1.12,1.19,5
aelf,6-Feb-18,1.07,1.29,0.870933,1.29,6
aelf,5-Feb-18,1.37,1.39,0.982856,1.07,7
aelf,4-Feb-18,1.63,1.67,1.28,1.39,8
aelf,3-Feb-18,1.59,1.7,1.45,1.63,9
aelf,2-Feb-18,1.7,1.71,1.25,1.59,10
aelf,1-Feb-18,1.94,2.16,1.59,1.7,11
aelf,31-Jan-18,1.75,2.02,1.65,1.93,12
aelf,30-Jan-18,2.07,2.2,1.69,1.74,13
aelf,29-Jan-18,1.99,2.1,1.97,2.1,14
aelf,28-Jan-18,1.97,2.16,1.96,1.99,15
aelf,27-Jan-18,2.09,2.09,1.88,1.95,16
aelf,26-Jan-18,2.29,2.29,1.87,2.09,17
aelf,25-Jan-18,1.79,2.51,1.78,2.29,18
aelf,24-Jan-18,1.42,2.03,1.37,1.8,19
aelf,23-Jan-18,1.43,1.55,1.25,1.43,20
aelf,22-Jan-18,1.6,1.62,1.3,1.43,21
aelf,21-Jan-18,1.98,2,1.44,1.58,22
aelf,20-Jan-18,1.62,2.1,1.57,1.98,23
aelf,19-Jan-18,1.37,1.66,1.28,1.63,24
aelf,18-Jan-18,1.3,1.48,1.21,1.38,25
aelf,17-Jan-18,1.08,1.37,0.970328,1.29,26
aelf,16-Jan-18,1.36,1.38,0.911486,1.09,27
aelf,15-Jan-18,1.66,1.67,1.34,1.36,28
